nombre,opt_gurobi,obj_gurobi,time_gurobi,opt_scip,obj_scip,time_scip,opt_roundingsat,obj_roundingsat,time_roundingsat,opt_rs_default,obj_rs_default,time_rs_default,opt_mixed-bag,obj_mixed-bag,time_mixed-bag,opt_naps,obj_naps,time_naps,min,max,vbs,opt_vbs,obj_vbs
normalized-BA_RDC4.dot_luby_20null20mast_rapportOE2.0_TMAX300_K67_cod2_pbEq1_newVersion_ladder.opb,0,0.0,3600.01,0,0.0022962112514351,3600.0,0,0.1113662456946039,1727.88,0,0.1107921928817451,3434.38,0,0.9173363949483352,3600.0,0,1.0,2.332237,-6968.0,0.0,0.0,0,0.0
normalized-BA_RDC4.dot_unif_50null10mast_rapportOE2.0_TMAX15_K67_cod1.opb,1,0.0,18.52,1,0.0,178.58,1,0.0,660.222,1,0.0,153.977,1,0.0,91.12,0,1.0,276.427679,-3479.0,-75.0,0.0,1,0.0
normalized-minisat50_6_9_4_ic.opb,0,1.0,3600.02,0,0.0,3600.0,0,0.5453813081581059,1830.17,0,0.1400499144003587,3381.74,0,0.0987567025504793,3600.01,0,0.1832104182687635,1063.917949,56569349.0,172732219.0,0.0,0,0.0
normalized-BA_RDC4.dot_luby_0null10mast_rapportOE1.0_TMAX300_K67_cod2_pbEq1_newVersion_binary.opb,0,0.0086311530681051,3600.01,0,1.0,3600.03,0,0.0345246122724207,1530.84,0,0.0,2717.64,0,2.0,,0,0.2254888739042481,3067.920621,-11392.0,-3977.0,0.0,0,0.0
normalized-BA_RDC4.dot_unif_20null10mast_rapportOE2.0_TMAX180_K67_cod2_pbEq1_newVersion_binary.opb,0,0.0304771893025694,3600.01,0,0.6978710015731515,3600.01,0,0.0,2561.09,0,0.0937808075511274,3486.6,0,0.5203985317252229,3600.0,0,1.0,7.857892,-47675.0,0.0,0.0,0,0.0
normalized-j12032_4.std.opb,0,1.0,3600.01,0,2.0,,0,0.0,3020.59,0,0.0149253731343283,2201.23,0,2.0,,0,0.6716417910447762,6.763081,142.0,209.0,0.0,0,0.0
normalized-BA_RDC4.dot_unif_50null10mast_rapportOE2.0_TMAX60_K67_cod2_pbEq1_newVersion_sequential.opb,0,0.0,3600.06,0,0.0375834756949836,3600.0,0,0.0017083398043174,937.781,0,0.7170368069576021,3591.44,0,0.4356266501009473,3600.01,0,1.0,5.862427,-12878.0,0.0,0.0,0,0.0
normalized-BA_RDC4.dot_unif_50null20mast_rapportOE2.0_TMAX120_K67_cod2_pbEq1_newVersion_binary.opb,0,0.015757931352416,3600.01,0,0.2431163823812916,3600.02,0,0.0112736264196806,3087.34,0,0.0,2389.65,0,0.4397552491513348,3600.0,0,1.0,3.608116,-23861.0,0.0,0.0,0,0.0
Init-x2-i2_pp_97-checkpoint.opb,1,0.0,43.61,1,0.0,2775.68,0,0.0,916.764,0,0.0,692.565,0,0.0229885057471264,3600.0,0,1.0,26.764062,1544.0,1718.0,0.0,1,0.0
normalized-NG.dot_fibo_50null20mast_rapportOE1.0_TMAX15_K192_cod2.opb,1,0.0,414.36,1,0.0,1331.52,1,0.0,666.805,1,0.0,2967.24,0,0.0,3431.87,0,1.0,31.87328,-40590.0,0.0,0.0,1,0.0
normalized-autocorr_bern30-23.lin.opb,0,0.0,3600.0,0,0.0099755700325732,3600.0,0,0.0401058631921824,2507.61,0,0.0085504885993485,2323.76,0,2.0,,0,1.0,0.215532,-7596.0,-2684.0,0.0,0,0.0
normalized-NG.dot_fibo_20null50mast_rapportOE1.0_TMAX180_K192_cod2.opb,1,0.0,3177.36,0,2.0,,0,0.8023449452676916,1735.95,0,0.1331920210953229,2873.56,0,2.0,,0,1.0,32.679741,-413741.0,0.0,0.0,1,0.0
normalized-NG.dot_fibo_10null20mast_rapportOE2.0_TMAX15_K192_cod2.opb,1,0.0,347.63,1,0.0,2331.66,1,0.0,387.29,1,0.0,1099.02,1,0.0,1148.78,0,1.0,32.256328,-54120.0,0.0,0.0,1,0.0
normalized-BA_RDC4.dot_unif_10null10mast_rapportOE2.0_TMAX120_K67_cod2_pbEq1_newVersion_binary.opb,0,0.0,3600.03,0,0.1288049515949849,3600.01,0,0.0281542612283764,2968.08,0,0.3063958101888589,3599.71,0,0.4920806221234725,3600.25,0,1.0,4.141549,-31505.0,0.0,0.0,0,0.0
normalized-BA_RDC4.dot_fibo_0null20mast_rapportOE1.0_TMAX300_K67_cod2_pbEq1_newVersion.opb,0,0.0,3600.0,0,0.0356568718310386,3600.0,0,0.0356568718310386,1526.56,0,0.075522466337548,3165.73,0,0.3209037026661215,3600.05,0,1.0,3.289956,-613963.0,0.0,0.0,0,0.0
normalized-BA_RDC4.dot_fibo_0null50mast_rapportOE2.0_TMAX15_K67_cod2_pbEq1_newVersion_binary.opb,1,0.0,144.24,1,0.0,1195.43,1,0.0,277.76,1,0.0,376.586,1,0.0,854.048,1,0.0,289.042167,-12543.0,-12543.0,0.0,1,0.0
normalized-maxcut_opt_complete_5-partite_block_nvert_42.opb,1,0.0,219.07,1,0.0,212.29,0,0.0636363636363636,12.4731,0,0.0,1059.82,1,0.0,263.92,0,1.0,0.376915,-432.0,-322.0,0.0,1,0.0
normalized-BA_RDC4.dot_fibo_50null10mast_rapportOE2.0_TMAX60_K67_cod3.opb,0,0.0,3600.01,1,0.0,1543.64,0,0.0,2147.09,0,0.2360679785889292,3084.63,0,2.0,,0,1.0,13.197279,-64079.0,0.0,0.0,1,0.0
normalized-NG.dot_fibo_0null20mast_rapportOE2.0_TMAX15_K192_cod1.opb,1,0.0,1684.84,0,0.1359785297058359,3599.0,0,0.3796242698521286,1372.33,0,0.6402147029416408,2684.2,0,2.0,,0,1.0,95.447824,-38006.0,0.0,0.0,1,0.0
normalized-BA_RDC4.dot_luby_50null0mast_rapportOE1.0_TMAX180_K67_cod2_pbEq1_newVersion_sequential.opb,0,0.0,3600.01,0,2.0,,0,0.0390625,1433.96,0,0.0234375,2237.69,0,0.3359375,3600.02,0,1.0,44.504391,-542.0,-286.0,0.0,0,0.0
normalized-BA_RDC4.dot_luby_0null20mast_rapportOE2.0_TMAX180_K67_cod2.opb,0,0.0,3600.0,1,0.0,500.7,1,0.0,1129.31,1,0.0,552.179,1,0.0,292.27,0,1.0,398.216278,-4320.0,-3200.0,0.0,1,0.0
normalized-NG.dot_luby_10null20mast_rapportOE2.0_TMAX60_K192_cod2.opb,0,0.0,3600.03,0,1.0,3600.57,0,0.0287878787878787,2867.6,0,0.0,1852.83,0,0.0261363636363636,1152.58,0,1.0,32.360083,-5280.0,0.0,0.0,0,0.0
normalized-NG.dot_luby_50null10mast_rapportOE2.0_TMAX60_K192_cod2.opb,0,0.0,3600.04,1,0.0,3422.46,0,0.0521449704142011,3292.66,1,0.0,805.692,0,2.0,,0,1.0,33.529796,-5408.0,0.0,0.0,1,0.0
normalized-BA_RDC4.dot_unif_10null10mast_rapportOE1.0_TMAX180_K67_cod2.opb,0,0.0,3600.01,0,0.0285170504592928,3600.0,0,0.0189379640115766,3083.92,0,0.3914842078771863,3599.83,0,0.5037907386435133,3600.01,0,1.0,3.201163,-63576.0,0.0,0.0,0,0.0
normalized-BA_RDC4.dot_fibo_50null0mast_rapportOE2.0_TMAX300_K67_cod3.opb,0,0.0,3600.0,0,0.133694127079575,3600.0,0,0.0231194341837757,823.658,0,0.019626034418578,3487.88,0,0.1183861638461758,3600.02,0,1.0,11.597915,-174615.0,0.0,0.0,0,0.0
normalized-BA_RDC4.dot_unif_10null50mast_rapportOE1.0_TMAX180_K67_cod2.opb,0,0.0,3600.0,0,0.0365980411752948,3600.0,0,0.0094143513891665,1719.49,0,0.0496302218668798,3561.16,0,0.2896262242654407,3600.0,0,1.0,2.766713,-50030.0,0.0,0.0,0,0.0
normalized-mps-v2-20-10-biella1.opb,1,0.0,2937.71,0,2.0,,0,1.0,2757.02,0,0.0591852052171974,2830.2,0,0.0059687771375248,3543.37,0,2.0,,31385659187200.0,5226906791219200.0,0.0,1,0.0
normalized-cvs08r139-94.opb,0,0.0,3600.01,0,0.0294117647058823,3600.0,0,0.1764705882352941,3570.9,0,0.088235294117647,1670.7,0,0.4705882352941176,3600.0,0,1.0,0.794608,-116.0,-82.0,0.0,0,0.0
normalized-BA_RDC4.dot_unif_20null10mast_rapportOE1.0_TMAX60_K67_cod1.opb,1,0.0,582.76,1,0.0,2356.72,0,0.2994055452194037,3594.64,0,0.2553886645187639,3396.85,0,2.0,,0,1.0,39.303506,-22037.0,0.0,0.0,1,0.0
normalized-j12016_5.std.opb,0,2.0,,0,2.0,,0,0.0,1132.96,0,0.1071428571428571,2264.0,0,2.0,,0,1.0,7.665097,216.0,300.0,0.0,0,0.0
